dt = 2017-04-29 12:05:10.828363 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:05:15.289118 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:05:46.715595 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:05:56.543924 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:06:04.972315 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:04 29. | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:04.973455 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:10.725289 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:06:13.604921 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:13.606618 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:15.438034 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:06:15.644458 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:06:20.943147 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 223049786}
dt = 2017-04-29 12:06:23.407973 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:06:23.774982 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:25.894785 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:05 29. | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:25.895974 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:28.717132 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:05 29. | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:28.718131 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:34.136362 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:06:36.962057 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:05 29. | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:06:36.964931 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:06:40.329093 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201294759 | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:06:40.332423 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:06:47.421408 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:05 29. | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:47.422475 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:50.178530 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:06:51.745105 | collection_name = sessions | key = wanted_shuttle_id | new_value = 201305167 | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:51.748239 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:53.177554 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 186247581}
dt = 2017-04-29 12:06:53.367917 | collection_name = sessions | key = inline_state | new_value = main_tab_shuttles | filter_options = {'chat_id': 186247581}
dt = 2017-04-29 12:06:55.389817 | collection_name = sessions | key = going_shuttles | new_value = [{'last_time': '15:06 29. | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:55.390808 | collection_name = sessions | key = inline_state | new_value = choose_your_shuttle | filter_options = {'chat_id': 45827426}
dt = 2017-04-29 12:06:57.894935 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
dt = 2017-04-29 12:07:34.960122 | collection_name = sessions | key = inline_state | new_value = show_wanted_shuttle | filter_options = {'chat_id': 102123889}
